Accession,Species,Genus,Family
NC_038558.1,Betapolyomavirus arplanirostris,Betapolyomavirus,Polyomaviridae
NC_074478.1,Pujohnavirus solihabitans,Pujohnavirus,Steitzviridae
NC_074063.1,Pipunevirus borborovivens,Pipunevirus,Fiersviridae
NC_039188.1,Orthobunyavirus wyeomyiae,Orthobunyavirus,Peribunyaviridae
NC_044953.1,African swine fever virus,Asfivirus,Asfarviridae
NC_010834.1,Tomato mild mosaic virus,Begomovirus,Geminiviridae
NC_078114.1,Reptilian orthoreovirus,Orthoreovirus,Spinareoviridae
NC_004607.1,Cotton leaf curl Multan virus,Begomovirus,Geminiviridae
NC_038313.1,Hepatovirus C,Hepatovirus,Picornaviridae
NC_041854.1,Phimunavirus fM1,Phimunavirus,Autographiviridae
NC_078828.1,Cheravirus arracaciae,Cheravirus,Secoviridae
NC_038974.1,Whitefly associated Guatemala alphasatellite 1,Whiflysatellite,Alphasatellitidae
NC_023812.1,Madariaga virus,Alphavirus,Togaviridae
NC_003834.1,Tulare apple mosaic virus,Ilarvirus,Bromoviridae
NC_031095.1,Jiaodavirus pko111,Jiaodavirus,Straboviridae
NC_025835.1,Iflavirus dinococcinellae,Iflavirus,Iflaviridae
NC_006150.1,Cytomegalovirus macacinebeta3,Cytomegalovirus,Orthoherpesviridae
NC_077048.1,Sorghum almum marafivirus,Marafivirus,Tymoviridae
NC_078673.1,Cilevirus oahuense,Cilevirus,Kitaviridae
NC_003498.1,Caulimovirus incidianthi,Caulimovirus,Caulimoviridae
NC_012120.1,Gossypium punctatum mild leaf curl virus,Begomovirus,Geminiviridae
NC_039229.1,Tomato yellow leaf curl Yunnan alphasatellite,Colecusatellite,Alphasatellitidae
NC_077971.1,Orthobunyavirus bunyamweraense,Orthobunyavirus,Peribunyaviridae
NC_048114.1,Przondovirus kpssk3,Przondovirus,Autographiviridae
NC_043643.1,Orthophasmavirus gandaense,Orthophasmavirus,Phasmaviridae
NC_024303.1,Macavirus bovinegamma6,Macavirus,Orthoherpesviridae
NC_003983.1,Erbovirus A,Erbovirus,Picornaviridae
NC_029549.1,Emaravirus tritici,Emaravirus,Fimoviridae
NC_013111.1,Cassava virus C,Ourmiavirus,Botourmiaviridae
NC_076730.1,Nauglamirvirus anduin,Nauglamirvirus,Naryaviridae
NC_073758.1,Vasivirus VAI,Vasivirus,Inoviridae
NC_048211.1,Wencheng Sm shrew coronavirus,Alphacoronavirus,Coronaviridae
NC_075110.1,Sweet potato symptomless virus 1,Mastrevirus,Geminiviridae
NC_038924.1,Mirabilis leaf curl betasatellite,Betasatellite,Tolecusatellitidae
NC_078277.1,Gemytripvirus fugra1,Gemytripvirus,Genomoviridae
NC_004903.1,Tomato yellow leaf curl Thailand betasatellite,Betasatellite,Tolecusatellitidae
NC_038338.1,Torque teno virus 11,Alphatorquevirus,Anelloviridae
NC_008946.1,Ichnoviriform fugitivi,Ichnoviriform,Polydnaviriformidae
NC_076166.1,TTV-like mini virus,Betatorquevirus,Anelloviridae
NC_002729.1,Banmivirus BanMMV,Banmivirus,Betaflexiviridae
NC_076834.1,Botoulivirus betabotrytidis,Botoulivirus,Botourmiaviridae
NC_029578.1,Blueberry shoestring virus,Sobemovirus,Solemoviridae
NC_024694.1,Human circovirus VS6600022,Circovirus,Circoviridae
NC_074955.1,Paslahepevirus balayani,Paslahepevirus,Hepeviridae
NC_039061.1,Human associated huchismacovirus 1,Huchismacovirus,Smacoviridae
NC_008176.1,Micromonas pusilla reovirus,Mimoreovirus,Sedoreoviridae
NC_040465.1,Antennavirus hirsutum,Antennavirus,Arenaviridae
NC_031057.1,Pseudotevenvirus miller,Pseudotevenvirus,Straboviridae
NC_029013.1,Pseudotevenvirus imecf2,Pseudotevenvirus,Straboviridae
NC_031800.1,Luteovirus avii,Luteovirus,Tombusviridae
NC_047893.1,Loudonvirus DTL,Loudonvirus,Drexlerviridae
NC_035469.1,NY_014 poxvirus,Centapoxvirus,Poxviridae
NC_048655.1,Chivirus BSPM4,Chivirus,Casjensviridae
NC_006935.1,Cotton leaf curl Gezira betasatellite,Betasatellite,Tolecusatellitidae
NC_076947.1,Equine infectious anemia virus,Lentivirus,Retroviridae
NC_017967.1,Hippeastrum mosaic virus,Potyvirus,Potyviridae
NC_025790.1,Thetapolyomavirus censtriata,Thetapolyomavirus,Polyomaviridae
NC_034519.1,Orthohantavirus khabarovskense,Orthohantavirus,Hantaviridae
NC_047762.1,Pradovirus XAJ24,Pradovirus,Autographiviridae
NC_027349.1,Tequatrovirus hy01,Tequatrovirus,Straboviridae
NC_009731.1,Okra leaf curl Mali virus satellite DNA beta,Betasatellite,Tolecusatellitidae
NC_010989.1,Alternaria alternata virus 1,Alternavirus,Alternaviridae
NC_003899.1,Eastern equine encephalitis virus,Alphavirus,Togaviridae
NC_034632.1,Orthobunyavirus wolkbergense,Orthobunyavirus,Peribunyaviridae
NC_024499.1,Umatilla virus,Orbivirus,Sedoreoviridae
NC_076829.1,Botoulivirus alphabotrytidis,Botoulivirus,Botourmiaviridae
NC_055355.1,Uukuvirus tyulenyense,Uukuvirus,Phenuiviridae
NC_077189.1,Chifec virus UA13_1887,Cyclovirus,Circoviridae
NC_055620.1,Sophora yellow stunt virus,Nanovirus,Nanoviridae
NC_003820.1,White clover mosaic virus,Potexvirus,Alphaflexiviridae
NC_028255.1,Vesiculovirus cocal,Vesiculovirus,Rhabdoviridae
NC_004122.1,Spring beauty latent virus,Bromovirus,Bromoviridae
NC_076441.1,Porprismacovirus chicas6,Porprismacovirus,Smacoviridae
NC_022519.1,Betapolyomavirus elephanti,Betapolyomavirus,Polyomaviridae
NC_076666.1,Alphafusarivirus rutstroemiae,Alphafusarivirus,Fusariviridae
NC_003792.2,Nepovirus cycas,Nepovirus,Secoviridae
NC_076687.1,Tepovirus ZoVT,Tepovirus,Betaflexiviridae
NC_078994.1,Bandavirus zwieselense,Bandavirus,Phenuiviridae
NC_014252.1,Panax virus Y,Potyvirus,Potyviridae
NC_076532.1,Betanucleorhabdovirus bacopae,Betanucleorhabdovirus,Rhabdoviridae
NC_076808.1,Scleroulivirus sigmaplasmoparae,Scleroulivirus,Botourmiaviridae
NC_003504.1,Bean calico mosaic virus,Begomovirus,Geminiviridae
NC_028881.1,Dhakavirus vr5,Dhakavirus,Straboviridae
NC_008928.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_043666.1,Alphachrysovirus colletotrichi,Alphachrysovirus,Chrysoviridae
NC_043170.1,Vallota mosaic virus,Potyvirus,Potyviridae
NC_025824.1,Inovirus M13,Inovirus,Inoviridae
NC_007733.2,Alphacarmovirus angeloniae,Alphacarmovirus,Tombusviridae
NC_047964.1,Ningirsuvirus ninurta,Ningirsuvirus,Autographiviridae
NC_055143.1,Rhizoctonia magoulivirus 1,Magoulivirus,Botourmiaviridae
NC_040834.1,Blackcurrant-associated closterovirus 1,Closterovirus,Closteroviridae
NC_005844.1,Papaya leaf curl Guandong virus,Begomovirus,Geminiviridae
NC_055352.1,Uukuvirus uriae,Uukuvirus,Phenuiviridae
NC_043661.1,Alphachrysovirus brassicae,Alphachrysovirus,Chrysoviridae
NC_038675.1,Tonate virus,Alphavirus,Togaviridae
NC_020996.1,Cherry rusty mottle associated virus,Robigovirus,Betaflexiviridae
NC_006428.1,Orthorubulavirus simiae,Orthorubulavirus,Paramyxoviridae
NC_005168.1,Aquareovirus C,Aquareovirus,Spinareoviridae
NC_039005.1,Reptarenavirus giessenae,Reptarenavirus,Arenaviridae
NC_038988.1,Common bean mottle virus,Begomovirus,Geminiviridae
NC_015269.1,Tequintavirus SPC35,Tequintavirus,Demerecviridae
NC_075026.1,Inovirus M13,Inovirus,Inoviridae
NC_074218.1,Alehxovirus agrihabitans,Alehxovirus,Steitzviridae
NC_054939.1,Tequatrovirus cm8,Tequatrovirus,Straboviridae
NC_003410.1,Circovirus canary,Circovirus,Circoviridae
NC_021549.1,Rotavirus B,Rotavirus,Sedoreoviridae
NC_043618.1,Orthobunyavirus cacheense,Orthobunyavirus,Peribunyaviridae
NC_018465.1,Orthobunyavirus ainoense,Orthobunyavirus,Peribunyaviridae
NC_027134.1,Mammarenavirus marientalense,Mammarenavirus,Arenaviridae
NC_022798.1,Nepovirus solani,Nepovirus,Secoviridae
NC_001547.1,Sindbis virus,Alphavirus,Togaviridae
NC_043302.1,Bracoviriform marginiventris,Bracoviriform,Polydnaviriformidae
NC_055520.1,Dendrobium chlorotic mosaic virus,Potyvirus,Potyviridae
NC_025359.1,Mousrhavirus moussa,Mousrhavirus,Rhabdoviridae
NC_001618.1,UR2 sarcoma virus,Alpharetrovirus,Retroviridae
NC_026923.1,Lowelvirus tuscon4d,Lowelvirus,Kyanoviridae
NC_031961.1,Common bean severe mosaic virus,Begomovirus,Geminiviridae
NC_076119.1,Okra leaf curl betasatellite,Betasatellite,Tolecusatellitidae
NC_038785.1,Alphachrysovirus verticillii,Alphachrysovirus,Chrysoviridae
NC_019922.1,Hagavirus psychrophilum,Hagavirus,Fiersviridae
NC_055648.1,Emaravirus kiwii,Emaravirus,Fimoviridae
NC_055801.1,Thalassavirus pontus,Thalassavirus,Demerecviridae
NC_070778.1,Enterobacter phage vB_EclM_Q7622,Kanagawavirus,Straboviridae
NC_013464.1,Saccharum streak virus,Mastrevirus,Geminiviridae
NC_076418.1,Fish HDV-like virus,Deltavirus,Kolmioviridae
NC_034563.1,Orthohantavirus thailandense,Orthohantavirus,Hantaviridae
NC_078586.1,Thogotovirus bourbonense,Thogotovirus,Orthomyxoviridae
NC_025219.1,Cripavirus NB-1/2011/HUN,Cripavirus,Dicistroviridae
NC_055607.1,Betachrysovirus aspergilli,Betachrysovirus,Chrysoviridae
NC_038468.1,Tomato bright yellow mottle virus,Begomovirus,Geminiviridae
NC_043290.1,Bracoviriform glomeratae,Bracoviriform,Polydnaviriformidae
NC_076443.1,Porprismacovirus chicas3,Porprismacovirus,Smacoviridae
NC_029692.1,Brazilian marseillevirus,Marseillevirus,Marseilleviridae
NC_006064.1,Humulus japonicus latent virus,Ilarvirus,Bromoviridae
NC_040414.1,Bat rotavirus,Rotavirus,Sedoreoviridae
NC_074421.1,Loptevirus arvivivens,Loptevirus,Steitzviridae
NC_038501.1,Gemykolovirus ptero1,Gemykolovirus,Genomoviridae
NC_003446.1,Sadwavirus fragariae,Sadwavirus,Secoviridae
NC_006273.2,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae
NC_008863.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_018399.1,Iteradensovirus lepidopteran2,Iteradensovirus,Parvoviridae
NC_039068.1,Chimpanzee associated porprismacovirus 1,Porprismacovirus,Smacoviridae
NC_048652.1,Grisebachstrassevirus goe3,Grisebachstrassevirus,Herelleviridae
NC_055536.1,Rubodvirus prosserense,Rubodvirus,Phenuiviridae
NC_003434.1,Ageratum enation virus,Begomovirus,Geminiviridae
NC_074066.1,Pohlevirus arvenecus,Pohlevirus,Fiersviridae
NC_076285.1,Gemycircularvirus trilo1,Gemycircularvirus,Genomoviridae
NC_009032.1,Torradovirus lycopersici,Torradovirus,Secoviridae
NC_076031.1,Mythimna unipuncta nucleopolyhedrovirus,Alphabaculovirus,Baculoviridae
NC_070721.1,Streptococcus phage SW7,Moineauvirus,Aliceevansviridae
NC_008897.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_074186.1,Kemiovirus caenivicinum,Kemiovirus,Blumeviridae
NC_043466.1,Salmovirus salmonidallo3,Salmovirus,Alloherpesviridae
NC_078968.1,Orthobunyavirus bakauense,Orthobunyavirus,Peribunyaviridae
NC_014091.1,Torque teno virus 16,Alphatorquevirus,Anelloviridae
NC_054933.1,Tequatrovirus teqhad,Tequatrovirus,Straboviridae
NC_070869.1,Escherichia phage vB_EcoP_SP5M,Gamaleyavirus,Schitoviridae
NC_001693.1,Gammapapillomavirus 4,Gammapapillomavirus,Papillomaviridae
NC_024485.1,Alphafusarivirus roselliniae,Alphafusarivirus,Fusariviridae
NC_014324.1,Turnip curly top virus,Turncurtovirus,Geminiviridae
NC_022642.1,Changuinola virus,Orbivirus,Sedoreoviridae
NC_028482.1,Culicidavirus imjinense,Culicidavirus,Chuviridae
NC_005843.1,Tomato chino La Paz virus,Begomovirus,Geminiviridae
NC_016758.1,Rosellinia necatrix quadrivirus 1,Quadrivirus,Quadriviridae
NC_040516.1,Stemphylium lycopersici mycovirus,Alternavirus,Alternaviridae
NC_077711.1,Sida micrantha mosaic virus,Begomovirus,Geminiviridae
NC_053516.1,Bongovirus reindeer,Bongovirus,Vilmaviridae
NC_055916.1,Rosenblumvirus LSA2366,Rosenblumvirus,Rountreeviridae
NC_074212.1,Abakapovirus humicola,Abakapovirus,Steitzviridae
NC_039208.1,Coronavirus HKU15,Deltacoronavirus,Coronaviridae
NC_055225.1,Alphachrysovirus shuangaoense,Alphachrysovirus,Chrysoviridae
NC_007592.1,Aquareovirus A,Aquareovirus,Spinareoviridae
NC_005131.2,Porrectionivirus p12J,Porrectionivirus,Inoviridae
NC_070671.1,Streptococcus phage CHPC642,Moineauvirus,Aliceevansviridae
NC_016405.1,Iflavirus spexiguae,Iflavirus,Iflaviridae
NC_076809.1,Deltascleroulivirus betaplasmoparae,Deltascleroulivirus,Botourmiaviridae
NC_026811.2,Kappaarterivirus wobum,Kappaarterivirus,Arteriviridae
NC_076163.1,Alphanucleorhabdovirus tuberosum,Alphanucleorhabdovirus,Rhabdoviridae
NC_001426.1,Emesvirus japonicum,Emesvirus,Fiersviridae
NC_038857.1,Mosso das Pedras virus,Alphavirus,Togaviridae
NC_042345.1,Salvovirus salvo,Salvovirus,Casjensviridae
NC_076944.1,Anicalvirus hangzhouense,Anicalvirus,Lispiviridae
NC_073926.1,Creshivirus fonticola,Creshivirus,Fiersviridae
NC_055605.1,Betachrysovirus aspergilli,Betachrysovirus,Chrysoviridae
NC_048167.1,Maculvirus OWB,Maculvirus,Autographiviridae
NC_031244.1,Anphevirus xinchengense,Anphevirus,Xinmoviridae
NC_071083.1,Streptococcus phage SW14,Brussowvirus,Aliceevansviridae
NC_010561.1,Bean yellow disorder virus,Crinivirus,Closteroviridae
NC_074097.1,Sholavirus caenivicinum,Sholavirus,Fiersviridae
NC_000871.1,Moineauvirus Sfi19,Moineauvirus,Aliceevansviridae
NC_027561.1,Chobar Gorge virus,Orbivirus,Sedoreoviridae
NC_033103.1,Sigmavirus myga,Sigmavirus,Rhabdoviridae
NC_074505.1,Thehlovirus edaphovicinum,Thehlovirus,Steitzviridae
NC_019853.1,Alphapolyomavirus apaniscus,Alphapolyomavirus,Polyomaviridae
NC_003808.1,Spinach latent virus,Ilarvirus,Bromoviridae
NC_038438.1,Abutilon golden mosaic virus,Begomovirus,Geminiviridae
NC_038928.1,Aspergillus foetidus slow virus 1,Victorivirus,Totiviridae
NC_034486.1,Orthobunyavirus guaroaense,Orthobunyavirus,Peribunyaviridae
NC_078041.1,Phlebovirus arumowotense,Phlebovirus,Phenuiviridae
NC_055223.1,Betachrysovirus fugramineari,Betachrysovirus,Chrysoviridae
NC_011190.1,Fabavirus gentianae,Fabavirus,Secoviridae
NC_029647.1,Norwalk virus,Norovirus,Caliciviridae
NC_021096.1,Red clover cryptic virus 2,Betapartitivirus,Partitiviridae
NC_076650.1,Duamitovirus nior1,Duamitovirus,Mitoviridae
NC_055636.1,Orthohantavirus tatenalense,Orthohantavirus,Hantaviridae
NC_022095.1,Gammapapillomavirus 15,Gammapapillomavirus,Papillomaviridae
NC_049457.1,Peduovirus pv12474III,Peduovirus,Peduoviridae
NC_004093.1,Okra leaf curl betasatellite,Betasatellite,Tolecusatellitidae
NC_040186.1,Pepper yellow leaf curl Thailand virus,Begomovirus,Geminiviridae
NC_074473.1,Pujohnavirus geovicinum,Pujohnavirus,Steitzviridae
NC_043132.1,Alpinia mosaic virus,Macluravirus,Potyviridae
NC_075333.1,Giant panda associated gemycircularvirus,Gemycircularvirus,Genomoviridae
NC_025394.1,Vesiculovirus perinet,Vesiculovirus,Rhabdoviridae
NC_033746.1,Protobacilladnavirus mudflat,Protobacilladnavirus,Bacilladnaviridae
NC_013465.1,Sweet potato leaf curl Canary virus,Begomovirus,Geminiviridae
NC_076636.1,Thetahypovirus sclerotiniae,Thetahypovirus,Hypoviridae
NC_038788.1,Tetterwort vein chlorosis virus,Crinivirus,Closteroviridae
NC_007163.1,Fiji disease virus,Fijivirus,Spinareoviridae
NC_007584.1,Aquareovirus A,Aquareovirus,Spinareoviridae
NC_038491.1,Gemycircularvirus ptero8,Gemycircularvirus,Genomoviridae
NC_070871.1,Escherichia phage PGN829.1,Gamaleyavirus,Schitoviridae
NC_003861.1,Sri Lankan cassava mosaic virus,Begomovirus,Geminiviridae
AC_000189.1,Porcine mastadenovirus A,Mastadenovirus,Adenoviridae
NC_075418.1,Luteovirus nucipersicae,Luteovirus,Tombusviridae
NC_038399.1,Cyclovirus khangkhaw,Cyclovirus,Circoviridae
NC_021329.1,Saldibavirus HRTV4,Saldibavirus,Haloferuviridae
NC_074592.1,Gredihovirus asienecus,Gredihovirus,Steitzviridae
NC_075103.1,Croton yellow vein betasatellite,Betasatellite,Tolecusatellitidae
NC_074069.1,Pohlevirus chorovivens,Pohlevirus,Fiersviridae
NC_003471.1,Atkinsonella hypoxylon virus,Betapartitivirus,Partitiviridae
NC_014711.1,Southern rice black-streaked dwarf virus,Fijivirus,Spinareoviridae
NC_049428.1,Kuttervirus mutine,Kuttervirus,Ackermannviridae
NC_031034.1,Wphvirus BPS13,Wphvirus,Herelleviridae
NC_030868.1,Alphafusarivirus ioaponiae,Alphafusarivirus,Fusariviridae
NC_012134.1,Gayfeather mild mottle virus,Cucumovirus,Bromoviridae
NC_076697.1,Alphapironavirus bona,Alphapironavirus,Coronaviridae
NC_043300.1,Bracoviriform glomeratae,Bracoviriform,Polydnaviriformidae
NC_026428.1,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae
NC_014645.1,Ageratum leaf curl Cameroon virus,Begomovirus,Geminiviridae
NC_031763.1,Sadwavirus dioscoreae,Sadwavirus,Secoviridae
NC_022555.1,Wallal virus,Orbivirus,Sedoreoviridae
NC_055538.1,Botrylloides leachii nidovirus,Bolenivirus,Medioniviridae
NC_018617.1,Porcine associated porprismacovirus 1,Porprismacovirus,Smacoviridae
NC_048738.1,Gregsiragusavirus CPD2,Gregsiragusavirus,Guelinviridae
NC_049815.1,Warwickvirus tonn,Warwickvirus,Drexlerviridae
NC_004995.1,Gammacarmovirus pisi,Gammacarmovirus,Tombusviridae
NC_027892.1,Orthobornavirus serini,Orthobornavirus,Bornaviridae
NC_078869.1,Hymovirus chrysis,Hymovirus,Phasmaviridae
NC_039231.1,Metapneumovirus avis,Metapneumovirus,Pneumoviridae
NC_003462.2,Apple stem pitting virus,Foveavirus,Betaflexiviridae
NC_008861.1,Ichnoviriform fumiferanae,Ichnoviriform,Polydnaviriformidae
NC_043205.1,Tomato yellow leaf distortion deltasatellite 2,Deltasatellite,Tolecusatellitidae
NC_075983.1,Jeilongvirus murinae,Jeilongvirus,Paramyxoviridae
NC_075284.1,Valinorvirus eriador,Valinorvirus,Nenyaviridae
NC_019548.1,Restivirus RSS1,Restivirus,Inoviridae
NC_040817.1,Camellia chlorotic dwarf-associated virus,Citlodavirus,Geminiviridae
NC_074202.1,Semodevirus borborenecus,Semodevirus,Blumeviridae
NC_005217.1,Orthohantavirus sinnombreense,Orthohantavirus,Hantaviridae
NC_078879.1,Orthobunyavirus turlockense,Orthobunyavirus,Peribunyaviridae
NC_034976.1,Goat torovirus,Torovirus,Tobaniviridae
NC_078027.1,Colletotrichum camelliae polymycovirus 1,Polymycovirus,Polymycoviridae
NC_074102.1,Sincthavirus limivicinum,Sincthavirus,Fiersviridae
NC_026761.1,Tomato enation leaf curl virus,Begomovirus,Geminiviridae
NC_040686.1,Wawtorquevirus crice2,Wawtorquevirus,Anelloviridae
NC_029800.1,Orthotospovirus iridimaculaflavi,Orthotospovirus,Tospoviridae
NC_074247.1,Bahnicevirus chthonovivens,Bahnicevirus,Steitzviridae
NC_004110.1,Orthobunyavirus lacrosseense,Orthobunyavirus,Peribunyaviridae
NC_076182.1,Ohlsrhavirus pseudovishnui,Ohlsrhavirus,Rhabdoviridae
NC_074244.1,Bahnicevirus chthonocola,Bahnicevirus,Steitzviridae
NC_010743.1,Mycoreovirus 1,Mycoreovirus,Spinareoviridae
NC_032978.1,Shuangao insect virus 8,Sopolycivirus,Polycipiviridae
NC_038629.1,Aquareovirus B,Aquareovirus,Spinareoviridae
NC_001498.1,Morbillivirus hominis,Morbillivirus,Paramyxoviridae
NC_015629.1,Duamitovirus tuae1,Duamitovirus,Mitoviridae
NC_006623.1,Iltovirus gallidalpha1,Iltovirus,Orthoherpesviridae
NC_043381.1,Bracoviriform rubeculae,Bracoviriform,Polydnaviriformidae
NC_022799.1,Nepovirus solani,Nepovirus,Secoviridae
NC_030159.1,Sclerotinia sclerotiorum mycoreovirus 4,Mycoreovirus,Spinareoviridae
NC_020475.1,Corchorus yellow vein mosaic betasatellite,Betasatellite,Tolecusatellitidae
NC_074242.1,Bahnicevirus chthonadaptatum,Bahnicevirus,Steitzviridae
NC_038722.1,Orthobunyavirus batamaense,Orthobunyavirus,Peribunyaviridae
NC_076476.1,Gemykroznavirus zizan1,Gemykroznavirus,Genomoviridae
NC_001982.1,Helicoverpa armigera stunt virus,Omegatetravirus,Alphatetraviridae
NC_038989.1,Enterovirus K,Enterovirus,Picornaviridae
NC_018070.1,Orthotospovirus phaseolinecrotessellati,Orthotospovirus,Tospoviridae
NC_074033.1,Noehsivirus tellurivivens,Noehsivirus,Fiersviridae
NC_075137.1,Cotton leaf curl Gezira alphasatellite,Colecusatellite,Alphasatellitidae
NC_030117.1,Varicellovirus canidalpha1,Varicellovirus,Orthoherpesviridae
NC_019910.1,Agtrevirus SKML39,Agtrevirus,Ackermannviridae
NC_073826.1,Qeihnovirus luticola,Qeihnovirus,Atkinsviridae
NC_003693.1,Nepovirus betae,Nepovirus,Secoviridae
NC_078638.1,Nepovirus alphavitis,Nepovirus,Secoviridae
NC_047998.1,Tunavirus Sfin1,Tunavirus,Drexlerviridae
NC_076496.1,Gemycircularvirus sp.,Gemycircularvirus,Genomoviridae
NC_025373.1,Paraavulavirus wisconsinense,Paraavulavirus,Paramyxoviridae
NC_048009.1,Tequintavirus S131,Tequintavirus,Demerecviridae
NC_078663.1,Emaravirus chrysanthemi,Emaravirus,Fimoviridae
NC_076793.1,Scleroulivirus epsilonplasmoparae,Scleroulivirus,Botourmiaviridae
NC_029042.1,Kuttervirus kv38,Kuttervirus,Ackermannviridae
NC_075030.1,Inovirus M13,Inovirus,Inoviridae
NC_019569.1,Bean chlorosis virus,Begomovirus,Geminiviridae
NC_040565.1,Marafivirus medicagonis,Marafivirus,Tymoviridae
NC_008585.1,Raspberry leaf mottle virus,Closterovirus,Closteroviridae
NC_038316.1,Hepatovirus G,Hepatovirus,Picornaviridae
NC_020877.1,Silviavirus remus,Silviavirus,Herelleviridae
NC_016574.1,Abutilon mosaic Brazil virus,Begomovirus,Geminiviridae
NC_055234.1,Macavirus suidgamma5,Macavirus,Orthoherpesviridae
NC_078086.1,Entomobirnavirus anophelae,Entomobirnavirus,Birnaviridae
NC_078314.1,Hartmanivirus brazilense,Hartmanivirus,Arenaviridae
NC_043224.1,Senegalvirus marseillevirus,Marseillevirus,Marseilleviridae
NC_003017.1,Cypovirus 1,Cypovirus,Spinareoviridae
NC_016995.1,Wigeon coronavirus HKU20,Deltacoronavirus,Coronaviridae
NC_003770.1,Rice ragged stunt virus,Oryzavirus,Spinareoviridae
NC_055631.1,Betachrysovirus neofusicocci,Betachrysovirus,Chrysoviridae
NC_078732.1,Quaranjavirus araguariense,Quaranjavirus,Orthomyxoviridae
NC_021559.1,Ronodorvirus pssm3,Ronodorvirus,Kyanoviridae
NC_038773.1,Emaravirus actinidiae,Emaravirus,Fimoviridae
NC_040419.1,Aspergillus fumigatus polymycovirus 1,Polymycovirus,Polymycoviridae
NC_020231.1,Quwivirus caviidbeta2,Quwivirus,Orthoherpesviridae
NC_002640.1,Orthoflavivirus denguei,Orthoflavivirus,Flaviviridae
NC_025726.1,Betatorquevirus homini27,Betatorquevirus,Anelloviridae
NC_043363.1,Choristoneura fumiferana entomopoxvirus,Betaentomopoxvirus,Poxviridae
